"보고 시작","보고 종료","광고 이름","지출 금액 (KRW)","구매 ROAS(광고 지출 대비 수익률)","광고 세트 예산","광고 세트 예산 유형",구매,"구매 전환값","CPC(전체) (KRW)",전환율(CVR),CTR(전체),클릭(전체),결과,"결과 표시 도구",도달,노출,"장바구니에 담기","평균 구매 전환값","결과당 비용","최근 영향이 큰 변경","광고 게재","동영상 3초 이상 재생","동영상 100% 재생","동영상 재생","기여 설정"
2025-05-12,2025-05-12,"재구매 1위(수정)_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,삼써_250429,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,"아직도 몰라_250429",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,체험단_250429,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,250502_2주,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-12,2025-05-12,250502_개운한데,8366,,220000,"일일 예산",,,8366,0,0.507614,1,,,174,197,,,,2025-05-15T09:47:23+0900,active,29,12,172,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250502_남자피지,376,,220000,"일일 예산",,,376,0,9.090909,1,,,11,11,,,,2025-05-15T09:47:23+0900,inactive,1,,8,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250502_모공찌꺼기,775,,220000,"일일 예산",,,775,0,3.846154,1,,,26,26,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250502_서울대,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-12,2025-05-12,250502_이정도,8908,,220000,"일일 예산",,,4454,0,1.190476,2,,,152,168,,,,2025-05-15T09:47:23+0900,inactive,28,11,140,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250502_좁쌀,4334,,220000,"일일 예산",,,0,,0,0,,,165,183,,,,2025-05-15T09:47:23+0900,inactive,44,15,143,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250502_햇살,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-12,2025-05-12,250502_급구,25568,,220000,"일일 예산",,,3196,0,1.058201,8,,,617,756,1,,,2025-05-15T09:47:23+0900,inactive,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250502_돈아껴,20069,10.762868,220000,"일일 예산",3,216000,4013.8,0.6,0.943396,5,3,actions:offsite_conversion.fb_pixel_purchase,445,530,7,72000,6689.66666667,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250502_피부과,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,active,,,,~
2025-05-12,2025-05-12,250502_봄맞이(재업),0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-12,2025-05-12,250508_담당자(재업),859,,220000,"일일 예산",,,0,,0,0,,,30,30,,,,2025-05-15T09:47:23+0900,active,4,,28,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250509_속보,8275,,220000,"일일 예산",,,1655,0,1.838235,5,,,260,272,,,,2025-05-15T09:47:23+0900,inactive,44,4,238,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250509_여름모공,41392,3.493429,220000,"일일 예산",2,144600,2178.526316,0.10526316,1.118963,19,2,actions:offsite_conversion.fb_pixel_purchase,1497,1698,6,72300,20696,2025-05-15T09:47:23+0900,inactive,226,60,1347,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,"250509_2주 완성",63991,1.090778,220000,"일일 예산",1,69800,2908.681818,0.04166667,1.076321,22,1,actions:offsite_conversion.fb_pixel_purchase,1794,2044,2,69800,63991,2025-05-15T09:47:23+0900,inactive,265,72,1603,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250509_챗GPT,331,,220000,"일일 예산",,,0,,0,0,,,31,33,,,,2025-05-15T09:47:23+0900,active,7,,27,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250509_모공청소기,2107,,220000,"일일 예산",,,0,,0,0,,,42,44,,,,2025-05-15T09:47:23+0900,active,4,,36,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250509_땅문서,29627,,220000,"일일 예산",,,4937.833333,0,0.634921,6,,,798,945,,,,2025-05-15T09:47:23+0900,active,173,19,753,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250509_Bye,645,,220000,"일일 예산",,,0,,0,0,,,17,19,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,250509_어디까지,8742,,220000,"일일 예산",,,1748.4,0,1.445087,5,,,294,346,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-12,2025-05-12,"P2PSBG_ASC(수동 광고8)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,"닥토_250327 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,모공고민(숏)_250409,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,올영가지마_250409,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,마누라_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,써보세요_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,삼각이_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,"소이현 교체헤드_250410",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,담당자_250411,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,not_delivering,,,,~
2025-05-12,2025-05-12,4가지_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,색연필_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,선착순_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,"소이현 방송_250418",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,솔직후기_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,"일주일 체험_250418",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,"소이현 루틴_250418",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,봄맞이_250421,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,"재구매 1위_250421",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,"1+1 혜택_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,목부터_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,진혹거_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,미쳤음_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,블랙헤드_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,not_delivering,,,,~
2025-05-12,2025-05-12,"소이현 이것_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-12,2025-05-12,한번에_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
