"보고 시작","보고 종료","광고 이름","지출 금액 (KRW)","구매 ROAS(광고 지출 대비 수익률)","광고 세트 예산","광고 세트 예산 유형",구매,"구매 전환값","CPC(전체) (KRW)",전환율(CVR),CTR(전체),클릭(전체),결과,"결과 표시 도구",도달,노출,"장바구니에 담기","평균 구매 전환값","결과당 비용","최근 영향이 큰 변경","광고 게재","동영상 3초 이상 재생","동영상 100% 재생","동영상 재생","기여 설정"
2025-05-13,2025-05-13,"재구매 1위(수정)_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,삼써_250429,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,"아직도 몰라_250429",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,체험단_250429,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,250502_2주,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-13,2025-05-13,250502_개운한데,24131,4.599892,220000,"일일 예산",1,111000,6032.75,0.25,0.788955,4,1,actions:offsite_conversion.fb_pixel_purchase,443,507,,111000,24131,2025-05-15T09:47:23+0900,active,114,44,437,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250502_남자피지,19074,,220000,"일일 예산",,,4768.5,0,0.744879,4,,,469,537,1,,,2025-05-15T09:47:23+0900,inactive,90,21,467,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250502_모공찌꺼기,2797,,220000,"일일 예산",,,0,,0,0,,,65,68,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250502_서울대,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-13,2025-05-13,250502_이정도,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250502_좁쌀,13159,,220000,"일일 예산",,,6579.5,0,0.420168,2,,,433,476,,,,2025-05-15T09:47:23+0900,inactive,98,32,407,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250502_햇살,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-13,2025-05-13,250502_급구,65328,1.068455,220000,"일일 예산",1,69800,2969.454545,0.04545455,1.351351,22,1,actions:offsite_conversion.fb_pixel_purchase,1279,1628,3,69800,65328,2025-05-15T09:47:23+0900,inactive,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250502_돈아껴,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,active,,,,~
2025-05-13,2025-05-13,250502_피부과,52,,220000,"일일 예산",,,0,,0,0,,,6,6,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250502_봄맞이(재업),0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-13,2025-05-13,250508_담당자(재업),9653,,220000,"일일 예산",,,9653,0,0.60241,1,,,140,166,,,,2025-05-15T09:47:23+0900,active,63,12,143,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250509_속보,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-13,2025-05-13,250509_여름모공,22380,,220000,"일일 예산",,,3197.142857,0,0.856793,7,,,781,817,,,,2025-05-15T09:47:23+0900,inactive,116,31,647,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,"250509_2주 완성",42067,,220000,"일일 예산",,,2103.35,0,1.647446,20,,,1120,1214,,,,2025-05-15T09:47:23+0900,inactive,194,45,969,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250509_챗GPT,660,,220000,"일일 예산",,,0,,0,0,,,37,38,,,,2025-05-15T09:47:23+0900,active,4,1,35,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250509_모공청소기,657,,220000,"일일 예산",,,0,,0,0,,,15,16,,,,2025-05-15T09:47:23+0900,active,,,12,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250509_땅문서,18596,4.56012,220000,"일일 예산",1,84800,3719.2,0.2,0.891266,5,1,actions:offsite_conversion.fb_pixel_purchase,524,561,4,84800,18596,2025-05-15T09:47:23+0900,active,109,7,451,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250509_Bye,1730,,220000,"일일 예산",,,1730,,9.090909,1,,,11,11,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,250509_어디까지,10499,,220000,"일일 예산",,,3499.666667,0,0.931677,3,,,285,322,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-13,2025-05-13,"P2PSBG_ASC(수동 광고8)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,"닥토_250327 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,모공고민(숏)_250409,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,올영가지마_250409,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,마누라_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,써보세요_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,삼각이_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,"소이현 교체헤드_250410",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,담당자_250411,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,not_delivering,,,,~
2025-05-13,2025-05-13,4가지_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,색연필_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,선착순_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-13,2025-05-13,"소이현 방송_250418",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
