"보고 시작","보고 종료","광고 이름","지출 금액 (KRW)","구매 ROAS(광고 지출 대비 수익률)","광고 세트 예산","광고 세트 예산 유형",구매,"구매 전환값","CPC(전체) (KRW)",전환율(CVR),CTR(전체),클릭(전체),결과,"결과 표시 도구",도달,노출,"장바구니에 담기","평균 구매 전환값","결과당 비용","최근 영향이 큰 변경","광고 게재","동영상 3초 이상 재생","동영상 100% 재생","동영상 재생","기여 설정"
2025-05-18,2025-05-18,250502_햇살,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-18,2025-05-18,250502_급구,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-18,2025-05-18,250502_돈아껴,4513,,220000,"일일 예산",,,2256.5,0,1.709402,2,,,100,117,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-18,2025-05-18,250502_피부과,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,active,,,,~
2025-05-18,2025-05-18,250502_봄맞이(재업),0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-18,2025-05-18,250508_담당자(재업),71,,220000,"일일 예산",,,0,,0,0,,,3,3,,,,2025-05-15T09:47:23+0900,active,1,,3,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-18,2025-05-18,250509_속보,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-18,2025-05-18,250509_여름모공,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-18,2025-05-18,"250509_2주 완성",0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-18,2025-05-18,250509_챗GPT,5,,220000,"일일 예산",,,0,,0,0,,,1,1,,,,2025-05-15T09:47:23+0900,active,1,,1,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-18,2025-05-18,250509_모공청소기,36,,220000,"일일 예산",,,0,,0,0,,,2,2,,,,2025-05-15T09:47:23+0900,active,,,2,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-18,2025-05-18,250509_땅문서,24250,2.465979,220000,"일일 예산",1,59800,2694.444444,0.11111111,1.651376,9,1,actions:offsite_conversion.fb_pixel_purchase,473,545,1,59800,24250,2025-05-15T09:47:23+0900,active,120,13,439,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-18,2025-05-18,250509_Bye,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,active,,,,~
2025-05-18,2025-05-18,250509_어디까지,4732,19.442096,220000,"일일 예산",1,92000,1577.333333,0.25,3.191489,3,1,actions:offsite_conversion.fb_pixel_purchase,85,94,5,92000,4732,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-18,2025-05-18,250515_가져가,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-18,2025-05-18,250515_대왕릴웨,58655,,220000,"일일 예산",,,2443.958333,0,1.260504,24,,,1643,1904,1,,,2025-05-15T09:47:23+0900,active,377,17,1585,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-18,2025-05-18,250515_끝장내,3103,,220000,"일일 예산",,,0,,0,0,,,45,52,,,,2025-05-15T09:47:23+0900,active,2,,37,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-18,2025-05-18,250515_체험단ver2,2719,,220000,"일일 예산",,,0,,0,0,,,61,69,,,,2025-05-15T09:47:23+0900,active,21,3,58,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-18,2025-05-18,250515_카운트다운,4801,,220000,"일일 예산",,,0,,0,0,,,138,147,,,,2025-05-15T09:47:23+0900,active,26,6,120,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
