"보고 시작","보고 종료","광고 이름","지출 금액 (KRW)","구매 ROAS(광고 지출 대비 수익률)","광고 세트 예산","광고 세트 예산 유형",구매,"구매 전환값","CPC(전체) (KRW)",전환율(CVR),CTR(전체),클릭(전체),결과,"결과 표시 도구",도달,노출,"장바구니에 담기","평균 구매 전환값","결과당 비용","최근 영향이 큰 변경","광고 게재","동영상 3초 이상 재생","동영상 100% 재생","동영상 재생","기여 설정"
2025-05-17,2025-05-17,250502_햇살,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-17,2025-05-17,250502_급구,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-17,2025-05-17,250502_돈아껴,1818,,220000,"일일 예산",,,0,,0,0,,,50,53,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250502_피부과,9,,220000,"일일 예산",,,0,,0,0,,,1,1,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250502_봄맞이(재업),0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-17,2025-05-17,250508_담당자(재업),0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,active,,,,~
2025-05-17,2025-05-17,250509_속보,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-17,2025-05-17,250509_여름모공,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-17,2025-05-17,"250509_2주 완성",0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-17,2025-05-17,250509_챗GPT,44,,220000,"일일 예산",,,0,,0,0,,,2,2,,,,2025-05-15T09:47:23+0900,active,,,2,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250509_모공청소기,19,,220000,"일일 예산",,,0,,0,0,,,1,1,,,,2025-05-15T09:47:23+0900,active,,,1,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250509_땅문서,61324,,220000,"일일 예산",,,3066.2,0,1.733102,20,,,1003,1154,1,,,2025-05-15T09:47:23+0900,active,323,40,952,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250509_Bye,14,,220000,"일일 예산",,,0,,0,0,,,1,1,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250509_어디까지,16733,,220000,"일일 예산",,,4183.25,0,1.028278,4,,,336,389,1,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250515_가져가,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-17,2025-05-17,250515_대왕릴웨,67456,1.257116,220000,"일일 예산",1,84800,1823.135135,0.02777778,1.492537,37,1,actions:offsite_conversion.fb_pixel_purchase,2304,2479,4,84800,67456,2025-05-15T09:47:23+0900,active,616,21,2224,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250515_끝장내,1557,,220000,"일일 예산",,,778.5,0,4.347826,2,,,44,46,,,,2025-05-15T09:47:23+0900,active,4,,38,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250515_체험단ver2,7647,,220000,"일일 예산",,,0,,0,0,,,176,197,3,,,2025-05-15T09:47:23+0900,active,39,2,157,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250515_카운트다운,4920,,220000,"일일 예산",,,2460,0,1.015228,2,,,186,197,,,,2025-05-15T09:47:23+0900,active,43,13,164,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250515_한달,3587,,220000,"일일 예산",,,896.75,0,5.797101,4,,,65,69,,,,2025-05-15T09:47:23+0900,active,25,5,65,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250515_혜택,59319,1.008109,220000,"일일 예산",1,59800,1412.357143,0.025,2.5,42,1,actions:offsite_conversion.fb_pixel_purchase,1533,1680,5,59800,59319,2025-05-15T09:47:23+0900,inactive,380,43,1515,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250515_7일,631,,220000,"일일 예산",,,0,,0,0,,,10,13,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250515_승무원,5544,,220000,"일일 예산",,,2772,0,1.459854,2,,,118,137,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250515_오늘만,6260,,220000,"일일 예산",,,3130,0,1.834862,2,,,94,109,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-17,2025-05-17,250515_최종가,14805,,220000,"일일 예산",,,14805,0,0.37037,1,,,222,270,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
