"보고 시작","보고 종료","광고 이름","지출 금액 (KRW)","구매 ROAS(광고 지출 대비 수익률)","광고 세트 예산","광고 세트 예산 유형",구매,"구매 전환값","CPC(전체) (KRW)",전환율(CVR),CTR(전체),클릭(전체),결과,"결과 표시 도구",도달,노출,"장바구니에 담기","평균 구매 전환값","결과당 비용","최근 영향이 큰 변경","광고 게재","동영상 3초 이상 재생","동영상 100% 재생","동영상 재생","기여 설정"
2025-05-22,2025-05-22,250502_햇살,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,250502_급구,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,250502_돈아껴,2929,,150000,"일일 예산",,,0,,0,0,,,71,84,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250502_피부과,14,,150000,"일일 예산",,,7,0,100,2,,,2,2,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250502_봄맞이(재업),0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,250508_담당자(재업),3094,,150000,"일일 예산",,,3094,0,1.470588,1,,,64,68,,,,2025-05-15T09:47:23+0900,active,14,3,61,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250509_속보,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,250509_여름모공,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,"250509_2주 완성",0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,250509_챗GPT,708,,150000,"일일 예산",,,0,,0,0,,,36,39,,,,2025-05-15T09:47:23+0900,active,4,,33,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250509_모공청소기,10136,,150000,"일일 예산",,,3378.666667,0,0.622407,3,,,408,482,,,,2025-05-15T09:47:23+0900,active,28,7,349,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250509_땅문서,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,250509_Bye,350,,150000,"일일 예산",,,0,,0,0,,,13,13,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250509_어디까지,39474,1.894918,150000,"일일 예산",1,74800,2819.571429,0.08333333,1.262399,14,1,actions:offsite_conversion.fb_pixel_purchase,876,1109,1,74800,39474,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250515_가져가,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,250515_대왕릴웨,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250515_끝장내,1912,,150000,"일일 예산",,,1912,0,2.12766,1,,,46,47,,,,2025-05-15T09:47:23+0900,active,6,,36,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250515_체험단ver2,16294,,150000,"일일 예산",,,8147,0,0.220507,2,,,717,907,,,,2025-05-15T09:47:23+0900,active,114,14,731,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250515_카운트다운,27402,,150000,"일일 예산",,,3425.25,0,1.111111,8,,,616,720,3,,,2025-05-15T09:47:23+0900,active,170,81,586,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250515_한달,8475,,150000,"일일 예산",,,1695,0,2.688172,5,,,172,186,,,,2025-05-15T09:47:23+0900,active,53,10,152,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250515_혜택,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,250515_7일,1355,,150000,"일일 예산",,,1355,0,20,1,,,5,5,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250515_승무원,662,,150000,"일일 예산",,,662,0,8.333333,1,,,11,12,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250515_오늘만,12073,,150000,"일일 예산",,,2414.6,0,1.70068,5,,,241,294,2,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250515_최종가,12736,,150000,"일일 예산",,,3184,0,1.176471,4,,,264,340,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250502_2주,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,250502_개운한데,61671,,150000,"일일 예산",,,4111.4,0,1.307759,15,,,995,1147,,,,2025-05-15T09:47:23+0900,active,253,75,977,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250502_남자피지,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,250502_모공찌꺼기,1165,,150000,"일일 예산",,,0,,0,0,,,25,29,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-22,2025-05-22,250502_서울대,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,250502_이정도,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-22,2025-05-22,250502_좁쌀,0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
