"보고 시작","보고 종료","광고 이름","지출 금액 (KRW)","구매 ROAS(광고 지출 대비 수익률)","광고 세트 예산","광고 세트 예산 유형",구매,"구매 전환값","CPC(전체) (KRW)",전환율(CVR),CTR(전체),클릭(전체),결과,"결과 표시 도구",도달,노출,"장바구니에 담기","평균 구매 전환값","결과당 비용","최근 영향이 큰 변경","광고 게재","동영상 3초 이상 재생","동영상 100% 재생","동영상 재생","기여 설정"
2025-05-05,2025-05-05,봄맞이_250421,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"재구매 1위_250421",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"1+1 혜택_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,목부터_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,진혹거_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,미쳤음_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,블랙헤드_250423,1559,,50000,"일일 예산",,,1559,0,2.631579,1,,,37,38,,,,2025-04-29T10:34:42+0900,not_delivering,5,,35,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,"소이현 이것_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,한번에_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"재구매 1위(수정)_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,삼써_250429,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"아직도 몰라_250429",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,체험단_250429,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,250502_2주,71716,1.798762,220000,"일일 예산",1,129000,3259.818182,0.05,1.269475,22,1,actions:offsite_conversion.fb_pixel_purchase,1567,1733,5,129000,71716,2025-05-15T09:47:23+0900,inactive,425,28,1504,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,250502_개운한데,279,,220000,"일일 예산",,,0,,0,0,,,11,12,,,,2025-05-15T09:47:23+0900,active,1,,10,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,250502_남자피지,537,,220000,"일일 예산",,,0,,0,0,,,13,14,,,,2025-05-15T09:47:23+0900,inactive,3,,14,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,250502_모공찌꺼기,4578,,220000,"일일 예산",,,2289,0,1.941748,2,,,91,103,1,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,250502_서울대,33409,,220000,"일일 예산",,,1518.590909,0,2.018349,22,,,940,1090,,,,2025-05-15T09:47:23+0900,inactive,337,70,959,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,250502_이정도,15768,,220000,"일일 예산",,,2628,0,1.060071,6,,,495,566,,,,2025-05-15T09:47:23+0900,inactive,92,7,498,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,250502_좁쌀,1543,,220000,"일일 예산",,,1543,0,2.702703,1,,,32,37,,,,2025-05-15T09:47:23+0900,inactive,11,4,29,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,250502_햇살,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-05,2025-05-05,250502_급구,26198,2.282617,220000,"일일 예산",1,59800,2015.230769,0.1,1.625,13,1,actions:offsite_conversion.fb_pixel_purchase,615,800,1,59800,26198,2025-05-15T09:47:23+0900,inactive,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,250502_돈아껴,8582,,220000,"일일 예산",,,4291,0,0.682594,2,,,217,293,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,250502_피부과,418,,220000,"일일 예산",,,418,0,6.25,1,,,14,16,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,250502_봄맞이(재업),10539,,220000,"일일 예산",,,3513,0,0.986842,3,,,249,304,,,,2025-05-15T09:47:23+0900,inactive,65,11,237,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,"3종 비교_250319 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,동안비결_250328,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,100원_250403,0,,80000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-03T17:21:03+0900,inactive,,,,~
2025-05-05,2025-05-05,똥손_250403,0,,80000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-03T17:21:03+0900,inactive,,,,~
2025-05-05,2025-05-05,전재산_250403,0,,80000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-03T17:21:03+0900,inactive,,,,~
2025-05-05,2025-05-05,조기소진_250403,0,,80000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-03T17:21:03+0900,inactive,,,,~
2025-05-05,2025-05-05,"C급_250327 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"소이현 피부비결_250327 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"반반얼굴_250327 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"닥토_250327 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,노하우_250409,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,모공고민(숏)_250409,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,올영가지마_250409,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,마누라_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,써보세요_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,삼각이_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"소이현 교체헤드_250410",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,담당자_250411,18276,3.272051,50000,"일일 예산",1,59800,1523,0.07692308,3.498542,12,1,actions:offsite_conversion.fb_pixel_purchase,261,343,2,59800,18276,2025-04-29T10:34:42+0900,not_delivering,82,11,264,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,4가지_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,색연필_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,선착순_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"소이현 방송_250418",6427,,50000,"일일 예산",,,0,,0,0,,,153,183,,,,2025-04-29T10:34:42+0900,inactive,40,3,158,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,솔직후기_250418,21101,,50000,"일일 예산",,,5275.25,0,0.531209,4,,,685,753,,,,2025-04-29T10:34:42+0900,inactive,190,59,616,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-05,2025-05-05,"일주일 체험_250418",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"소이현 루틴_250418",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"수동 W 소이현남편(숏) 250307",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"수동 W 소이현파랑(숏) 250307",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"수동 W 쟁여놓자(숏) 250307",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"수동 W 틀린그림(숏) 250307",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"수동 W 쟁여놓자 순서변경 (숏) 250310",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"P2PSBG_ASC(수동 광고4)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"P2PSBG_ASC(수동 광고7)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"P2PSBG_ASC(수동 광고3)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"P2PSBG_ASC(수동 광고11)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"P2PSBG_ASC(수동 광고2)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"P2PSBG_ASC(수동 광고10)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"P2PSBG_ASC(수동 광고8)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"P2PSBG_ASC(수동 광고6)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"P2PSBG_ASC(수동 광고5)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-05,2025-05-05,"소이현 피부비결_250327",0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-11T13:35:53+0900,inactive,,,,~
