"보고 시작","보고 종료","광고 이름","지출 금액 (KRW)","구매 ROAS(광고 지출 대비 수익률)","광고 세트 예산","광고 세트 예산 유형",구매,"구매 전환값","CPC(전체) (KRW)",전환율(CVR),CTR(전체),클릭(전체),결과,"결과 표시 도구",도달,노출,"장바구니에 담기","평균 구매 전환값","결과당 비용","최근 영향이 큰 변경","광고 게재","동영상 3초 이상 재생","동영상 100% 재생","동영상 재생","기여 설정"
2025-05-08,2025-05-08,"재구매 1위(수정)_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,삼써_250429,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"아직도 몰라_250429",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,체험단_250429,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,250502_2주,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-08,2025-05-08,250502_개운한데,727,,220000,"일일 예산",,,0,,0,0,,,24,24,,,,2025-05-15T09:47:23+0900,active,4,,23,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,250502_남자피지,859,,220000,"일일 예산",,,0,,0,0,,,12,13,,,,2025-05-15T09:47:23+0900,inactive,4,,10,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,250502_모공찌꺼기,1273,,220000,"일일 예산",,,0,,0,0,,,20,22,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,250502_서울대,128088,2.234401,220000,"일일 예산",5,286200,1707.84,0.06944444,1.454616,75,5,actions:offsite_conversion.fb_pixel_purchase,4586,5156,12,57240,25617.6,2025-05-15T09:47:23+0900,inactive,1307,186,4439,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,250502_이정도,14589,,220000,"일일 예산",,,2917.8,0,0.959693,5,,,401,521,2,,,2025-05-15T09:47:23+0900,inactive,84,13,404,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,250502_좁쌀,484,,220000,"일일 예산",,,0,,0,0,,,16,16,,,,2025-05-15T09:47:23+0900,inactive,4,,13,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,250502_햇살,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-08,2025-05-08,250502_급구,12284,8.938457,220000,"일일 예산",1,109800,3071,0.2,1.015228,4,1,actions:offsite_conversion.fb_pixel_purchase,323,394,4,109800,12284,2025-05-15T09:47:23+0900,inactive,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,250502_돈아껴,15753,,220000,"일일 예산",,,3150.6,0,0.943396,5,,,448,530,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,250502_피부과,68,,220000,"일일 예산",,,0,,0,0,,,5,5,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,250502_봄맞이(재업),38971,5.629827,220000,"일일 예산",3,219400,2292.411765,0.1875,1.314772,17,3,actions:offsite_conversion.fb_pixel_purchase,1056,1293,5,73133.333333,12990.33333333,2025-05-15T09:47:23+0900,inactive,194,18,1008,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,250508_담당자(재업),9467,,220000,"일일 예산",,,1893.4,0,1.282051,5,,,324,390,1,,,2025-05-15T09:47:23+0900,active,65,5,334,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,250509_속보,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-08,2025-05-08,250509_여름모공,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-08,2025-05-08,"250509_2주 완성",0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-08,2025-05-08,250509_챗GPT,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,active,,,,~
2025-05-08,2025-05-08,250509_모공청소기,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,active,,,,~
2025-05-08,2025-05-08,250509_땅문서,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,active,,,,~
2025-05-08,2025-05-08,250509_Bye,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,active,,,,~
2025-05-08,2025-05-08,250509_어디까지,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,active,,,,~
2025-05-08,2025-05-08,"닥토_250327 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,노하우_250409,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,모공고민(숏)_250409,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,올영가지마_250409,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,마누라_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,써보세요_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,삼각이_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"소이현 교체헤드_250410",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,담당자_250411,3705,,50000,"일일 예산",,,3705,0,1.298701,1,,,71,77,,,,2025-04-29T10:34:42+0900,not_delivering,22,1,63,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,4가지_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,색연필_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,선착순_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"소이현 방송_250418",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,솔직후기_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"일주일 체험_250418",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"소이현 루틴_250418",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,봄맞이_250421,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"재구매 1위_250421",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"1+1 혜택_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,목부터_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,진혹거_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,미쳤음_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,블랙헤드_250423,305,,50000,"일일 예산",,,0,,0,0,,,18,23,,,,2025-04-29T10:34:42+0900,not_delivering,4,1,19,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-08,2025-05-08,"소이현 이것_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,한번에_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"수동 W 소이현남편(숏) 250307",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"수동 W 소이현파랑(숏) 250307",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"수동 W 쟁여놓자(숏) 250307",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"수동 W 틀린그림(숏) 250307",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"수동 W 쟁여놓자 순서변경 (숏) 250310",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"P2PSBG_ASC(수동 광고4)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"P2PSBG_ASC(수동 광고7)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"P2PSBG_ASC(수동 광고3)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"P2PSBG_ASC(수동 광고11)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"P2PSBG_ASC(수동 광고2)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"P2PSBG_ASC(수동 광고10)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"P2PSBG_ASC(수동 광고8)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"P2PSBG_ASC(수동 광고6)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"P2PSBG_ASC(수동 광고5)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"소이현 피부비결_250327",0,,150000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-11T13:35:53+0900,inactive,,,,~
2025-05-08,2025-05-08,"3종 비교_250319 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,동안비결_250328,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"C급_250327 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"소이현 피부비결_250327 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-08,2025-05-08,"반반얼굴_250327 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
