"보고 시작","보고 종료","광고 이름","지출 금액 (KRW)","구매 ROAS(광고 지출 대비 수익률)","광고 세트 예산","광고 세트 예산 유형",구매,"구매 전환값","CPC(전체) (KRW)",전환율(CVR),CTR(전체),클릭(전체),결과,"결과 표시 도구",도달,노출,"장바구니에 담기","평균 구매 전환값","결과당 비용","최근 영향이 큰 변경","광고 게재","동영상 3초 이상 재생","동영상 100% 재생","동영상 재생","기여 설정"
2025-05-11,2025-05-11,"재구매 1위(수정)_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,삼써_250429,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,"아직도 몰라_250429",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,체험단_250429,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,250502_2주,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-11,2025-05-11,250502_개운한데,4720,,220000,"일일 예산",,,1573.333333,0,3.529412,3,,,79,85,,,,2025-05-15T09:47:23+0900,active,19,7,78,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250502_남자피지,507,,220000,"일일 예산",,,0,,0,0,,,8,8,,,,2025-05-15T09:47:23+0900,inactive,,,8,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250502_모공찌꺼기,1775,,220000,"일일 예산",,,1775,0,3.448276,1,,,23,29,1,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250502_서울대,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-11,2025-05-11,250502_이정도,17689,,220000,"일일 예산",,,3537.8,0,1.113586,5,,,378,449,,,,2025-05-15T09:47:23+0900,inactive,91,26,385,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250502_좁쌀,8226,,220000,"일일 예산",,,2056.5,0,1.438849,4,,,250,278,,,,2025-05-15T09:47:23+0900,inactive,72,19,242,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250502_햇살,0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-11,2025-05-11,250502_급구,29422,8.768948,220000,"일일 예산",2,258000,2101.571429,0.14285714,1.879195,14,2,actions:offsite_conversion.fb_pixel_purchase,628,745,3,129000,14711,2025-05-15T09:47:23+0900,inactive,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250502_돈아껴,28249,4.587773,220000,"일일 예산",2,129600,1883.266667,0.13333333,1.981506,15,2,actions:offsite_conversion.fb_pixel_purchase,627,757,7,64800,14124.5,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250502_피부과,9,,220000,"일일 예산",,,0,,0,0,,,1,1,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250502_봄맞이(재업),0,,220000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-05-15T09:47:23+0900,inactive,,,,~
2025-05-11,2025-05-11,250508_담당자(재업),1503,,220000,"일일 예산",,,0,,0,0,,,24,25,,,,2025-05-15T09:47:23+0900,active,7,1,21,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250509_속보,43051,1.38905,220000,"일일 예산",1,59800,2391.722222,0.05555556,1.304348,18,1,actions:offsite_conversion.fb_pixel_purchase,1245,1380,3,59800,43051,2025-05-15T09:47:23+0900,inactive,246,41,1204,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250509_여름모공,19243,,220000,"일일 예산",,,2749,0,0.985915,7,,,649,710,1,,,2025-05-15T09:47:23+0900,inactive,105,33,586,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,"250509_2주 완성",57429,2.246252,220000,"일일 예산",1,129000,1221.893617,0.02,2.838164,47,1,actions:offsite_conversion.fb_pixel_purchase,1470,1656,2,129000,57429,2025-05-15T09:47:23+0900,inactive,298,62,1305,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250509_챗GPT,566,,220000,"일일 예산",,,0,,0,0,,,30,35,,,,2025-05-15T09:47:23+0900,active,11,,28,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250509_모공청소기,2111,,220000,"일일 예산",,,0,,0,0,,,66,73,,,,2025-05-15T09:47:23+0900,active,7,,67,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250509_땅문서,67135,5.773442,220000,"일일 예산",4,387600,3729.722222,0.25,0.90045,18,4,actions:offsite_conversion.fb_pixel_purchase,1772,1999,6,96900,16783.75,2025-05-15T09:47:23+0900,active,405,48,1684,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250509_Bye,228,,220000,"일일 예산",,,0,,0,0,,,12,13,,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,250509_어디까지,10669,,220000,"일일 예산",,,2133.8,0,1.22549,5,,,350,408,1,,,2025-05-15T09:47:23+0900,active,,,,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일"
2025-05-11,2025-05-11,"P2PSBG_ASC(수동 광고8)_250314 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,"닥토_250327 - 사본",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,모공고민(숏)_250409,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,올영가지마_250409,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,마누라_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,써보세요_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,삼각이_250410,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,"소이현 교체헤드_250410",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,담당자_250411,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,not_delivering,,,,~
2025-05-11,2025-05-11,4가지_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,색연필_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,선착순_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,"소이현 방송_250418",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,솔직후기_250418,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,"일주일 체험_250418",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,"소이현 루틴_250418",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,봄맞이_250421,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,"재구매 1위_250421",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,"1+1 혜택_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,목부터_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,진혹거_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,미쳤음_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,블랙헤드_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,not_delivering,,,,~
2025-05-11,2025-05-11,"소이현 이것_250423",0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
2025-05-11,2025-05-11,한번에_250423,0,,50000,"일일 예산",,,0,,0,0,,,0,0,,,,2025-04-29T10:34:42+0900,inactive,,,,~
